place,population,income,povertycount
"Pitt County, North Carolina",178433,27155,84097
"Polk County, North Carolina",20557,30756,8359
"Randolph County, North Carolina",143118,24397,66144
"Richmond County, North Carolina",44997,21228,17762
"Robeson County, North Carolina",132596,18709,48621
"Rockingham County, North Carolina",91077,24209,39300
"Rowan County, North Carolina",140296,25630,62623
"Rutherford County, North Carolina",66599,23978,26817
"Sampson County, North Carolina",63385,22875,27250
"Scotland County, North Carolina",35076,19052,12113
"Stanly County, North Carolina",61588,25863,28750
"Stokes County, North Carolina",45781,26279,20997
"Surry County, North Carolina",71971,25500,31291
"Swain County, North Carolina",14260,23139,5642
"Transylvania County, North Carolina",33775,29549,14055
"Tyrrell County, North Carolina",4095,19743,1536
"Union County, North Carolina",231053,36362,113699
"Vance County, North Carolina",44479,23049,19153
"Wake County, North Carolina",1069079,40982,565245
"Warren County, North Carolina",19898,23432,7402
"Washington County, North Carolina",11922,23431,4318
"Watauga County, North Carolina",54925,26882,25748
"Wayne County, North Carolina",123603,25277,52287
"Wilkes County, North Carolina",68469,25202,29454
"Wilson County, North Carolina",81435,24790,35593
"Yadkin County, North Carolina",37602,25218,16233
"Yancey County, North Carolina",17760,24487,7306
"Adams County, North Dakota",2311,33458,1191
"Barnes County, North Dakota",10706,35491,5863
"Benson County, North Dakota",6873,21707,2440
"Billings County, North Dakota",922,42071,447
"Bottineau County, North Dakota",6502,35655,3215
"Bowman County, North Dakota",3148,34880,1623
"Burke County, North Dakota",2182,39350,1053
"Burleigh County, North Dakota",94793,38804,51291
"Cass County, North Dakota",176975,37620,103886
"Cavalier County, North Dakota",3803,43457,1894
"Dickey County, North Dakota",4938,33539,2632
"Divide County, North Dakota",2335,40184,1111
"Dunn County, North Dakota",4395,42691,2048
"Eddy County, North Dakota",2301,35639,1175
"Emmons County, North Dakota",3310,33088,1535
"Foster County, North Dakota",3260,35299,1753
"Golden Valley County, North Dakota",1845,33111,979
"Grand Forks County, North Dakota",70224,32153,38382
"Grant County, North Dakota",2353,34786,1078
"Griggs County, North Dakota",2409,34882,1176
"Hettinger County, North Dakota",2547,34181,1141
"Kidder County, North Dakota",2466,31000,1155
"LaMoure County, North Dakota",4125,37220,2051
"Logan County, North Dakota",1872,32619,948
"McHenry County, North Dakota",5878,36980,2871
"McIntosh County, North Dakota",2597,32131,1401
"McKenzie County, North Dakota",13334,36690,6725
"McLean County, North Dakota",9584,36428,4552
"Mercer County, North Dakota",8462,39025,4311
"Morton County, North Dakota",30868,39384,18045
"Mountrail County, North Dakota",10321,36364,4719
"Nelson County, North Dakota",2894,34491,1451
"Oliver County, North Dakota",1842,35565,802
"Pembina County, North Dakota",6947,36251,3376
"Pierce County, North Dakota",4126,30756,1999
"Ramsey County, North Dakota",11583,34041,6114
"Ransom County, North Dakota",5314,34665,2788
"Renville County, North Dakota",2442,34452,1191
"Richland County, North Dakota",16254,31346,8405
"Rolette County, North Dakota",14511,20484,5299
"Sargent County, North Dakota",3872,37105,2091
"Sheridan County, North Dakota",1409,32627,567
"Sioux County, North Dakota",4373,15649,1258
"Slope County, North Dakota",742,33798,325
"Stark County, North Dakota",31081,38103,16014
"Steele County, North Dakota",1744,39011,927
"Stutsman County, North Dakota",20965,31991,10663
"Towner County, North Dakota",2224,37239,1038
"Traill County, North Dakota",8008,33321,4059
"Walsh County, North Dakota",10751,34194,5401
"Ward County, North Dakota",68812,34923,35164
"Wells County, North Dakota",3976,35134,1886
"Williams County, North Dakota",35208,44235,18813
"Adams County, Ohio",27776,22366,10396
"Allen County, Ohio",103175,26761,48319
"Ashland County, Ohio",53536,26017,25570
"Ashtabula County, Ohio",97830,24265,40462
"Athens County, Ohio",65917,22040,28134
"Auglaize County, Ohio",45729,31198,23435
"Belmont County, Ohio",68024,27580,28957
"Brown County, Ohio",43572,26696,19654
"Butler County, Ohio",380019,31921,183889
"Carroll County, Ohio",27332,29518,12502
"Champaign County, Ohio",38845,27722,18419
"Clark County, Ohio",134726,27066,60958
"Clermont County, Ohio",204275,34390,102881
"Clinton County, Ohio",41957,26690,19738
"Columbiana County, Ohio",103190,26469,45391
"Coshocton County, Ohio",36585,23432,15877
"Crawford County, Ohio",41821,25744,18664
"Cuyahoga County, Ohio",1247451,33114,593418
"Darke County, Ohio",51513,27855,24963
"Defiance County, Ohio",38160,29816,18861
"Delaware County, Ohio",201135,48117,103594
"Erie County, Ohio",74780,32790,35976
"Fairfield County, Ohio",154457,32021,74141
"Fayette County, Ohio",28620,26079,12744
"Franklin County, Ohio",1290360,33998,678242
"Fulton County, Ohio",42253,29600,21240
"Gallia County, Ohio",30088,24130,12210
"Geauga County, Ohio",93843,42958,47910
"Greene County, Ohio",166502,35833,78781
"Guernsey County, Ohio",39111,24742,16732
"Hamilton County, Ohio",813589,35570,406743
"Hancock County, Ohio",75837,32797,38927
"Hardin County, Ohio",31425,23383,14679
"Harrison County, Ohio",15211,24940,6104
"Henry County, Ohio",27208,28830,13346
"Highland County, Ohio",43016,23543,17642
"Hocking County, Ohio",28390,25588,12504
"Holmes County, Ohio",43901,23404,20286
"Huron County, Ohio",58339,26133,27505
"Jackson County, Ohio",32450,23254,13553
"Jefferson County, Ohio",66371,26391,27769
"Knox County, Ohio",61481,26390,28638
"Lake County, Ohio",229954,34409,118331
"Lawrence County, Ohio",60184,24562,24555
"Licking County, Ohio",173750,31617,83927
"Logan County, Ohio",45316,29424,21676
"Lorain County, Ohio",307670,30928,142923
"Lucas County, Ohio",431102,29226,200130
"Madison County, Ohio",44135,29164,19293
"Mahoning County, Ohio",229961,28378,104974
"Marion County, Ohio",65299,24484,26631
"Medina County, Ohio",177980,37788,93280
"Meigs County, Ohio",23078,24899,8935
"Mercer County, Ohio",40884,29765,21099
"Miami County, Ohio",105371,31254,50939
"Monroe County, Ohio",13942,26476,5138
"Montgomery County, Ohio",531670,30034,246370
"Morgan County, Ohio",14640,22937,5792
"Morrow County, Ohio",35043,28257,17420
"Muskingum County, Ohio",86131,25148,38331
"Noble County, Ohio",14416,24440,4061
"Ottawa County, Ohio",40632,34560,19366
"Paulding County, Ohio",18809,28300,8646
"Perry County, Ohio",36022,23484,15084
"Pickaway County, Ohio",57762,27760,24785
"Pike County, Ohio",28000,24318,10496
"Portage County, Ohio",162511,30054,83100
"Preble County, Ohio",41093,28890,19834
"Putnam County, Ohio",33911,31743,17527
"Richland County, Ohio",121100,25585,52254
"Ross County, Ohio",76948,24913,31060
"Sandusky County, Ohio",59029,27319,28340
"Scioto County, Ohio",76040,23719,28010
"Seneca County, Ohio",55351,27100,26789
"Shelby County, Ohio",48749,29381,25031
"Stark County, Ohio",372404,29495,178411
"Summit County, Ohio",541334,33606,267727
"Trumbull County, Ohio",200367,26935,86952
"Tuscarawas County, Ohio",92335,27057,44023
"Union County, Ohio",56707,37384,28871
"Van Wert County, Ohio",28261,27115,13664
"Vinton County, Ohio",13083,21781,5416
"Warren County, Ohio",229132,41792,114387
"Washington County, Ohio",60426,28782,27110
"Wayne County, Ohio",116099,27884,56091
"Williams County, Ohio",36816,27124,17823
"Wood County, Ohio",130150,32431,69780
"Wyandot County, Ohio",22000,28541,11308
"Adair County, Oklahoma",22220,17026,8028
"Alfalfa County, Oklahoma",5847,27615,2233
"Atoka County, Oklahoma",13823,20443,4753
"Beaver County, Oklahoma",5377,24514,2441
"Beckham County, Oklahoma",22268,24480,8738
"Blaine County, Oklahoma",9556,25851,3548
"Bryan County, Oklahoma",46457,23979,19896
"Caddo County, Oklahoma",29242,23167,11308
"Canadian County, Oklahoma",140455,30755,70773
"Carter County, Oklahoma",48319,26094,21198
"Cherokee County, Oklahoma",48664,22161,19665
"Choctaw County, Oklahoma",14807,21277,5171
"Cimarron County, Oklahoma",2174,29115,973
"Cleveland County, Oklahoma",279274,31571,141590
"Coal County, Oklahoma",5581,24055,2128
"Comanche County, Oklahoma",121762,26449,48028
"Cotton County, Oklahoma",5858,23564,2330
"Craig County, Oklahoma",14390,21318,5702
"Creek County, Oklahoma",71427,26044,30580
"Custer County, Oklahoma",29152,26520,13872
"Delaware County, Oklahoma",42433,24070,15956
"Dewey County, Oklahoma",4922,28310,2127
"Ellis County, Oklahoma",4015,28195,1785
"Garfield County, Oklahoma",61898,28333,28230
"Garvin County, Oklahoma",27835,24880,11147
"Grady County, Oklahoma",55071,30242,24682
"Grant County, Oklahoma",4397,28815,1951
"Greer County, Oklahoma",5861,18907,1993
"Harmon County, Oklahoma",2710,26045,1215
"Harper County, Oklahoma",3760,24130,1546
"Haskell County, Oklahoma",12687,22074,4656
"Hughes County, Oklahoma",13372,20572,4164
"Jackson County, Oklahoma",25063,25555,10561
"Jefferson County, Oklahoma",6158,24313,2233
"Johnston County, Oklahoma",11064,21197,4140
"Kay County, Oklahoma",44402,26189,18828
"Kingfisher County, Oklahoma",15694,31724,7233
"Kiowa County, Oklahoma",8886,21482,3741
"Latimer County, Oklahoma",10348,25240,3804
"Le Flore County, Oklahoma",50026,20902,19163
"Lincoln County, Oklahoma",34895,25255,14183
"Logan County, Oklahoma",46683,31105,21043
"Love County, Oklahoma",10063,22036,3982
"McClain County, Oklahoma",39247,32259,18641
"McCurtain County, Oklahoma",33016,20671,12682
"McIntosh County, Oklahoma",19725,23268,6777
"Major County, Oklahoma",7692,28609,3342
"Marshall County, Oklahoma",16505,22781,6476
"Mayes County, Oklahoma",41044,24472,17282
"Murray County, Oklahoma",13946,26943,5835
"Muskogee County, Oklahoma",68736,23826,26517
"Noble County, Oklahoma",11335,28011,5110
"Nowata County, Oklahoma",10322,22930,4293
"Okfuskee County, Oklahoma",12067,18437,3948
"Oklahoma County, Oklahoma",787216,31609,375218
"Okmulgee County, Oklahoma",38749,23431,15215
"Osage County, Oklahoma",47226,25473,19105
"Ottawa County, Oklahoma",31454,20814,12855
"Pawnee County, Oklahoma",16412,24303,6595
"Payne County, Oklahoma",81815,24057,36902
"Pittsburg County, Oklahoma",44146,25524,17434
"Pontotoc County, Oklahoma",38355,26187,17464
"Pottawatomie County, Oklahoma",72154,24178,30187
"Pushmataha County, Oklahoma",11128,22435,3975
"Roger Mills County, Oklahoma",3667,30866,1574
"Rogers County, Oklahoma",91353,32148,44056
"Seminole County, Oklahoma",24832,20666,9297
"Sequoyah County, Oklahoma",41709,20384,15919
"Stephens County, Oklahoma",43647,25769,18281
"Texas County, Oklahoma",20805,22003,10787
"Tillman County, Oklahoma",7413,21974,2998
"Tulsa County, Oklahoma",646419,32044,314296
"Wagoner County, Oklahoma",78958,29415,36917
"Washington County, Oklahoma",51886,30847,22277
"Washita County, Oklahoma",11225,26265,4793
"Woods County, Oklahoma",9043,27427,4385
"Woodward County, Oklahoma",20727,28915,9372
"Baker County, Oregon",16019,28700,6078
"Benton County, Oregon",91107,33817,44026
"Clackamas County, Oregon",410463,41492,204784
"Clatsop County, Oregon",39102,29757,17762
"Columbia County, Oregon",51375,31883,22601
"Coos County, Oregon",63686,27582,25028
"Crook County, Oregon",23011,27007,9177
"Curry County, Oregon",22650,30021,7617
"Deschutes County, Oregon",186251,35507,91092
"Douglas County, Oregon",109114,26478,43291
"Gilliam County, Oregon",1878,26482,812
"Grant County, Oregon",7189,27367,2972
"Harney County, Oregon",7267,26370,2974
"Hood River County, Oregon",23209,34926,11921
"Jackson County, Oregon",216574,30250,95367
"Jefferson County, Oregon",23607,23987,9036
"Josephine County, Oregon",86251,25167,31985
"Klamath County, Oregon",66921,25880,26347
"Lake County, Oregon",7837,24241,3131
"Lane County, Oregon",373340,29705,173561
"Lincoln County, Oregon",48547,27861,19011
"Linn County, Oregon",125048,27345,54874
"Malheur County, Oregon",30412,18974,10965
"Marion County, Oregon",339641,27338,153727
"Morrow County, Oregon",11303,23682,4923
"Multnomah County, Oregon",804606,39245,440395
"Polk County, Oregon",83037,29440,37400
"Sherman County, Oregon",1642,31615,715
"Tillamook County, Oregon",26389,27659,10307
"Umatilla County, Oregon",77129,24444,32412
"Union County, Oregon",26337,27646,11726
"Wallowa County, Oregon",7004,30485,3079
"Wasco County, Oregon",26130,27445,11819
"Washington County, Oregon",589481,39679,308937
"Wheeler County, Oregon",1415,21702,451
"Yamhill County, Oregon",104831,31314,48740
"Adams County, Pennsylvania",102470,31590,50873
"Allegheny County, Pennsylvania",1221744,38709,629528
"Armstrong County, Pennsylvania",65867,27715,29658
"Beaver County, Pennsylvania",165833,31305,80919
"Bedford County, Pennsylvania",48337,26078,22141
"Berks County, Pennsylvania",418025,31571,205648
"Blair County, Pennsylvania",123157,28119,56808
"Bradford County, Pennsylvania",60963,28392,26863
"Bucks County, Pennsylvania",626806,45849,331860
"Butler County, Pennsylvania",186899,37811,93689
"Cambria County, Pennsylvania",133009,26008,56957
"Cameron County, Pennsylvania",4611,24528,2036
"Carbon County, Pennsylvania",63887,29202,29641
"Centre County, Pennsylvania",161960,30753,77182
"Chester County, Pennsylvania",519560,50927,273363
"Clarion County, Pennsylvania",38715,25157,17377
"Clearfield County, Pennsylvania",79908,24403,34016
"Clinton County, Pennsylvania",38915,25794,17883
"Columbia County, Pennsylvania",65715,26787,30394
"Crawford County, Pennsylvania",85665,26582,38398
"Cumberland County, Pennsylvania",249328,37500,127941
"Dauphin County, Pennsylvania",275632,33639,138855
"Delaware County, Pennsylvania",564554,40026,279607
"Elk County, Pennsylvania",30340,29772,15374
"Erie County, Pennsylvania",273835,28306,126569
"Fayette County, Pennsylvania",131302,27368,54869
"Forest County, Pennsylvania",7313,15245,989
"Franklin County, Pennsylvania",154147,31221,74289
"Fulton County, Pennsylvania",14506,27396,6721
"Greene County, Pennsylvania",36870,27783,14424
"Huntingdon County, Pennsylvania",45369,25746,18615
"Indiana County, Pennsylvania",85032,26509,37420
"Jefferson County, Pennsylvania",43846,25509,19674
"Juniata County, Pennsylvania",24624,26239,11270
"Lackawanna County, Pennsylvania",210652,29899,99414
"Lancaster County, Pennsylvania",540999,32194,272111
"Lawrence County, Pennsylvania",86727,28926,39582
"Lebanon County, Pennsylvania",139729,29130,68411
"Lehigh County, Pennsylvania",365052,33566,178697
"Luzerne County, Pennsylvania",317663,28972,151788
"Lycoming County, Pennsylvania",114330,27950,53135
"McKean County, Pennsylvania",41401,27023,18207
"Mercer County, Pennsylvania",111518,27639,49378
"Mifflin County, Pennsylvania",46276,25469,21379
"Monroe County, Pennsylvania",168032,29662,80347
"Montgomery County, Pennsylvania",823823,48845,434317
"Montour County, Pennsylvania",18259,34575,8731
"Northampton County, Pennsylvania",302809,35270,150437
"Northumberland County, Pennsylvania",91761,26389,41607
"Perry County, Pennsylvania",46053,30785,22622
"Philadelphia County, Pennsylvania",1579075,27924,702105
"Pike County, Pennsylvania",55453,34589,25191
"Potter County, Pennsylvania",16806,24797,6654
"Schuylkill County, Pennsylvania",142674,27431,62570
"Snyder County, Pennsylvania",40483,27482,20143
"Somerset County, Pennsylvania",74361,25781,32230
"Sullivan County, Pennsylvania",6135,30375,2718
"Susquehanna County, Pennsylvania",40970,31309,18046
"Tioga County, Pennsylvania",40944,26301,17977
"Union County, Pennsylvania",45111,27079,17908
"Venango County, Pennsylvania",51818,26969,22682
"Warren County, Pennsylvania",39756,28230,18266
"Washington County, Pennsylvania",207212,35537,99980
"Wayne County, Pennsylvania",51422,27412,21111
"Westmoreland County, Pennsylvania",352590,34274,172201
"Wyoming County, Pennsylvania",27327,29584,12835
"York County, Pennsylvania",445565,32623,224825
"Bristol County, Rhode Island",48764,46566,25125
"Kent County, Rhode Island",163869,39869,88514
"Newport County, Rhode Island",82801,47594,41244
"Providence County, Rhode Island",635737,31522,314000
"Washington County, Rhode Island",126060,42869,64995
"Abbeville County, South Carolina",24627,22646,10104
"Aiken County, South Carolina",168301,28396,71279
"Allendale County, South Carolina",9024,16985,2890
"Anderson County, South Carolina",198064,27552,91058
"Bamberg County, South Carolina",14376,18479,5354
"Barnwell County, South Carolina",21346,20297,8004
"Beaufort County, South Carolina",186095,38946,76980
"Berkeley County, South Carolina",215044,29662,100320
"Calhoun County, South Carolina",14663,26398,6250
"Charleston County, South Carolina",401165,39914,204353
"Cherokee County, South Carolina",56895,21152,23119
"Chester County, South Carolina",32311,22324,13196
"Chesterfield County, South Carolina",45953,21325,19346
"Clarendon County, South Carolina",33957,22824,11923
"Colleton County, South Carolina",37585,21377,15900
"Darlington County, South Carolina",67027,23027,26910
"Dillon County, South Carolina",30689,17605,11808
"Dorchester County, South Carolina",158299,29853,74909
"Edgefield County, South Carolina",26927,26228,10602
"Fairfield County, South Carolina",22565,23380,9037
"Florence County, South Carolina",138475,26127,60708
"Georgetown County, South Carolina",61952,31382,25080
"Greenville County, South Carolina",507003,32679,247829
"Greenwood County, South Carolina",70411,24752,30493
"Hampton County, South Carolina",19564,18424,7470
"Horry County, South Carolina",332172,28202,147486
"Jasper County, South Carolina",28657,24566,12309
"Kershaw County, South Carolina",65112,25442,28257
"Lancaster County, South Carolina",92308,30742,38913
"Laurens County, South Carolina",66846,23004,28437
"Lee County, South Carolina",17365,19300,5940
"Lexington County, South Carolina",290278,31671,140808
"McCormick County, South Carolina",9531,25617,2803
"Marion County, South Carolina",31308,20160,11558
"Marlboro County, South Carolina",26753,17456,9161
"Newberry County, South Carolina",38194,24959,16841
"Oconee County, South Carolina",77528,29844,32106
"Orangeburg County, South Carolina",87687,20716,35030
"Pickens County, South Carolina",124029,26061,56013
"Richland County, South Carolina",411357,30175,195730
"Saluda County, South Carolina",20303,22814,8392
"Spartanburg County, South Carolina",307617,27240,141860
"Sumter County, South Carolina",106757,23460,43151
"Union County, South Carolina",27490,23470,11760
"Williamsburg County, South Carolina",31324,18257,11453
"York County, South Carolina",265872,34010,132601
"Aurora County, South Dakota",2763,37086,1495
"Beadle County, South Dakota",18346,27655,9028
"Bennett County, South Dakota",3425,17793,1184
"Bon Homme County, South Dakota",6929,24131,2832
"Brookings County, South Dakota",34601,28330,19445
"Brown County, South Dakota",38915,33122,20929
"Brule County, South Dakota",5258,31874,2914
"Buffalo County, South Dakota",2026,11995,601
"Butte County, South Dakota",10225,26961,4919
"Campbell County, South Dakota",1485,32684,753
"Charles Mix County, South Dakota",9349,22347,3901
"Clark County, South Dakota",3685,30991,1716
"Clay County, South Dakota",13957,28192,7840
"Codington County, South Dakota",28026,30043,15388
"Corson County, South Dakota",4150,16449,1301
"Custer County, South Dakota",8719,33649,3997
"Davison County, South Dakota",19871,31560,10678
"Day County, South Dakota",5486,29808,2611
"Deuel County, South Dakota",4318,30601,2331
"Dewey County, South Dakota",5833,17504,2081
"Douglas County, South Dakota",2929,30033,1400
"Edmunds County, South Dakota",3909,34628,1934
"Fall River County, South Dakota",6747,27556,2898
"Faulk County, South Dakota",2312,27569,1080
"Grant County, South Dakota",7149,31479,3555
"Gregory County, South Dakota",4186,26546,1980
"Haakon County, South Dakota",2018,24333,898
"Hamlin County, South Dakota",6025,28822,2827
"Hand County, South Dakota",3256,33200,1763
"Hanson County, South Dakota",3399,24948,1623
"Harding County, South Dakota",1306,31819,693
"Hughes County, South Dakota",17608,33677,9334
"Hutchinson County, South Dakota",7308,28872,3654
"Hyde County, South Dakota",1319,34034,671
"Jackson County, South Dakota",3290,13528,1004
"Jerauld County, South Dakota",2018,42660,950
"Jones County, South Dakota",793,27139,418
"Kingsbury County, South Dakota",4944,35773,2686
"Lake County, South Dakota",12717,33728,6684
"Lawrence County, South Dakota",25478,31712,13484
"Lincoln County, South Dakota",56826,40059,30895
"Lyman County, South Dakota",3848,22850,1700
"McCook County, South Dakota",5548,29020,2859
"McPherson County, South Dakota",2297,28559,1075
"Marshall County, South Dakota",4891,32472,2478
"Meade County, South Dakota",27717,28809,14292
"Mellette County, South Dakota",2052,13784,539
"Miner County, South Dakota",2211,28381,1128
"Minnehaha County, South Dakota",188674,31716,105355
"Moody County, South Dakota",6507,31300,3249
"Oglala Lakota County, South Dakota",14335,10388,3576
"Pennington County, South Dakota",110685,31874,54324
"Perkins County, South Dakota",2897,33678,1603
"Potter County, South Dakota",2315,32379,1131
"Roberts County, South Dakota",10287,26243,4661
"Sanborn County, South Dakota",2379,32745,1320
"Spink County, South Dakota",6483,35393,3221
"Stanley County, South Dakota",3017,42838,1739
"Sully County, South Dakota",1305,39226,657
"Todd County, South Dakota",10195,10739,2433
"Tripp County, South Dakota",5458,27036,2806
"Turner County, South Dakota",8300,30677,4261
"Union County, South Dakota",15368,42411,7958
"Walworth County, South Dakota",5457,32563,2744
"Yankton County, South Dakota",22717,31772,11449
"Ziebach County, South Dakota",2791,16555,958
"Anderson County, Tennessee",76061,28455,32611
"Bedford County, Tennessee",48292,24864,22010
"Benton County, Tennessee",16140,22636,5891
"Bledsoe County, Tennessee",14836,21700,5417
"Blount County, Tennessee",129927,30548,60847
"Bradley County, Tennessee",105749,26655,49160
"Campbell County, Tennessee",39797,24212,15458
"Cannon County, Tennessee",14178,26435,6440
"Carroll County, Tennessee",27886,22394,11173
"Carter County, Tennessee",56433,23205,23117
"Cheatham County, Tennessee",40181,27893,20022
"Chester County, Tennessee",17190,22629,6886
"Claiborne County, Tennessee",31732,21566,12091
"Clay County, Tennessee",7654,18983,2670
"Cocke County, Tennessee",35552,21867,13907
"Coffee County, Tennessee",55209,26557,24880
"Crockett County, Tennessee",14399,23771,6102
"Cumberland County, Tennessee",59216,25832,21750
"Davidson County, Tennessee",687488,36440,380627
"Decatur County, Tennessee",11686,23857,4409
"DeKalb County, Tennessee",19847,25399,8013
"Dickson County, Tennessee",52680,27115,23532
"Dyer County, Tennessee",37416,27710,16273
"Fayette County, Tennessee",40164,33383,17626
"Fentress County, Tennessee",18213,20093,7033
"Franklin County, Tennessee",41725,28317,18283
"Gibson County, Tennessee",49228,23211,20127
"Giles County, Tennessee",29285,25690,12680
"Grainger County, Tennessee",23101,23595,9889
"Greene County, Tennessee",68834,25190,28541
"Grundy County, Tennessee",13344,20592,5034
"Hamblen County, Tennessee",64132,23517,26376
"Hamilton County, Tennessee",360919,32839,173657
"Hancock County, Tennessee",6587,23728,2195
"Hardeman County, Tennessee",25443,18172,8055
"Hardin County, Tennessee",25715,24243,9750
"Hawkins County, Tennessee",56611,24695,22268
"Haywood County, Tennessee",17623,21839,7328
"Henderson County, Tennessee",27977,22695,11272
"Henry County, Tennessee",32284,24124,12623
"Hickman County, Tennessee",24813,22856,10001
"Houston County, Tennessee",8164,22360,3095
"Humphreys County, Tennessee",18435,25428,7396
"Jackson County, Tennessee",11682,21037,4315
"Jefferson County, Tennessee",53679,25159,23719
"Johnson County, Tennessee",17753,22107,5707
"Knox County, Tennessee",461104,33229,232086
"Lake County, Tennessee",7401,15732,1812
"Lauderdale County, Tennessee",25989,18515,9172
"Lawrence County, Tennessee",43390,21720,16807
"Lewis County, Tennessee",12027,21516,4920
"Lincoln County, Tennessee",33924,26965,15088
"Loudon County, Tennessee",52340,31478,21396
"McMinn County, Tennessee",53053,23885,21334
"McNairy County, Tennessee",25844,20934,9425
"Macon County, Tennessee",23842,22527,10601
"Madison County, Tennessee",97625,26722,43691
"Marion County, Tennessee",28538,25467,12424
"Marshall County, Tennessee",32965,25410,14927
"Maury County, Tennessee",91976,28970,44397
"Meigs County, Tennessee",12104,24525,4517
"Monroe County, Tennessee",46064,23207,17730
"Montgomery County, Tennessee",200180,26923,82421
"Moore County, Tennessee",6378,30658,2777
"Morgan County, Tennessee",21545,20204,7370
"Obion County, Tennessee",30365,23375,12851
"Overton County, Tennessee",22068,21808,9336
"Perry County, Tennessee",7962,27970,2765
"Pickett County, Tennessee",5079,24907,1901
"Polk County, Tennessee",16814,25405,7188
"Putnam County, Tennessee",77447,24946,34503
"Rhea County, Tennessee",32719,22336,13076
"Roane County, Tennessee",53075,30209,22195
"Robertson County, Tennessee",70280,29524,33928
"Rutherford County, Tennessee",315815,30159,168044
"Scott County, Tennessee",21969,20849,8163
"Sequatchie County, Tennessee",14816,23050,6117
"Sevier County, Tennessee",97068,25283,46934
"Shelby County, Tennessee",936374,30104,435649
"Smith County, Tennessee",19740,28797,9136
"Stewart County, Tennessee",13427,24113,5341
"Sullivan County, Tennessee",157050,28429,66728
"Sumner County, Tennessee",183437,33851,92522
"Tipton County, Tennessee",61447,28457,27600
"Trousdale County, Tennessee",10231,24795,4605
"Unicoi County, Tennessee",17811,23455,7447
"Union County, Tennessee",19488,24010,7346
"Van Buren County, Tennessee",5760,20634,2134
"Warren County, Tennessee",40702,22802,17231
"Washington County, Tennessee",127805,29656,60301
"Wayne County, Tennessee",16693,20689,5756
"Weakley County, Tennessee",33510,22755,14319
"White County, Tennessee",26800,22040,10438
"Williamson County, Tennessee",225389,52702,114816
"Wilson County, Tennessee",136666,34575,68351
"Anderson County, Texas",57810,17280,19213
"Andrews County, Texas",18036,30673,8167
"Angelina County, Texas",87322,23147,36525
"Aransas County, Texas",24462,30863,9814
"Archer County, Texas",8716,34617,4438
"Armstrong County, Texas",1973,31749,888
"Atascosa County, Texas",49528,23890,19876
"Austin County, Texas",29764,30219,13498
"Bailey County, Texas",7100,21945,3305
"Bandera County, Texas",22215,29561,9475
"Bastrop County, Texas",84522,27773,36296
"Baylor County, Texas",3577,22987,1540
"Bee County, Texas",32611,18340,10038
"Bell County, Texas",348574,26677,141131
"Bexar County, Texas",1952843,27834,907686
"Blanco County, Texas",11478,37998,5488
"Borden County, Texas",613,34028,231
"Bosque County, Texas",18296,26636,7711
"Bowie County, Texas",93373,27095,37008
"Brazoria County, Texas",360677,34561,169376
"Brazos County, Texas",222981,27632,106349
"Brewster County, Texas",9231,28915,4495
"Briscoe County, Texas",1457,23933,600
"Brooks County, Texas",7141,14523,2569
"Brown County, Texas",37855,27463,16369
"Burleson County, Texas",18058,30086,7823
"Burnet County, Texas",46530,30980,21041
"Caldwell County, Texas",42144,25086,18566
"Calhoun County, Texas",21668,27268,9625
"Callahan County, Texas",13856,26051,5851
"Cameron County, Texas",421666,17430,161127
"Camp County, Texas",12878,22449,5306
"Carson County, Texas",6009,34708,2932
"Cass County, Texas",30059,23075,11412
"Castro County, Texas",7673,21884,3466
"Chambers County, Texas",41305,35916,18917
"Cherokee County, Texas",52118,22391,20251
"Childress County, Texas",7253,21233,2853
"Clay County, Texas",10403,29159,4419
"Cochran County, Texas",2887,21463,1208
"Coke County, Texas",3303,25285,1448
"Coleman County, Texas",8334,27752,3542
"Collin County, Texas",973977,44548,509180
"Collingsworth County, Texas",2969,25681,1311
"Colorado County, Texas",21224,29552,9553
"Comal County, Texas",141642,38991,66229
"Comanche County, Texas",13529,26728,5975
"Concho County, Texas",3266,21420,905
"Cooke County, Texas",40041,30704,19303
"Coryell County, Texas",75280,22400,24032
"Cottle County, Texas",1642,19797,670
"Crane County, Texas",4802,27893,2144
"Crockett County, Texas",3484,26178,1738
"Crosby County, Texas",5836,19443,2489
"Culberson County, Texas",2214,15109,1006
"Dallam County, Texas",7304,27491,3700
"Dallas County, Texas",2606868,32653,1305009
"Dawson County, Texas",12813,20084,4489
"Deaf Smith County, Texas",18736,21616,8450
"Delta County, Texas",5249,27667,2188
"Denton County, Texas",833822,41153,453391
"DeWitt County, Texas",20340,28910,7710
"Dickens County, Texas",2203,25025,769
"Dimmit County, Texas",10438,16925,3330
"Donley County, Texas",3342,25534,1496
"Duval County, Texas",11268,17637,4314
"Eastland County, Texas",18273,24548,7031
"Ector County, Texas",160579,28954,74960
"Edwards County, Texas",1918,24689,868
"Ellis County, Texas",173772,32571,85372
"El Paso County, Texas",836062,21683,352290
"Erath County, Texas",41841,27639,20076
"Falls County, Texas",17272,18745,5997
"Fannin County, Texas",34537,27112,13998
"Fayette County, Texas",25141,30170,11263
"Fisher County, Texas",3856,28750,1709
"Floyd County, Texas",5803,23617,2499
"Foard County, Texas",1275,27573,570
"Fort Bend County, Texas",765394,39994,367035
"Franklin County, Texas",10716,28789,4798
